UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
246,201.03,85,Male,None,Low,Lagging,Low,1,3,2.79602,2.5,30
325,205.2284,98,Female,None,Low,Lagging,Low,1.587302,3,2.718293,3,30
258,205.5932,93,Female,None,Medium,Immediate,Low,1.149425,3,2.599514,2.25,32
248,206.2809,37,Female,WalkingStick,Low,Lagging,Low,0.8451657,3,2.411408,2,30
228,207.2448,73,Female,None,Low,Lagging,Low,0.8912656,3,2.454106,2.25,32
219,208.5337,47,Male,None,Low,Lagging,Low,0.78125,3,2.733253,2.5,31
162,208.5337,30,Female,None,Low,Lagging,Low,0.7117438,3,2.350478,2.25,32
333,214.0774,41,Male,None,Low,Lagging,Low,0.7604563,3,2.667056,3,33
177,221.9007,77,Female,None,Low,Lagging,Medium,0.9225093,2.75,2.478604,2.25,30
170,224.8155,74,Male,None,High,Lagging,Medium,0.9009009,2.75,2.386667,2,33
161,225.7315,80,Female,None,Medium,Lagging,Low,0.9372071,3,2.517699,2.75,33
203,226.2909,97,Male,None,Low,Lagging,Medium,1.282051,2.75,1.986726,2,33
164,227.5629,32,Male,None,Medium,Lagging,Low,0.729927,3,2.700658,2,31
193,232.251,92,Male,None,High,Lagging,Low,1.136364,3,2.75431,2,33
74,239.9455,34,Female,None,Low,Lagging,Low,0.7215007,3,2.513542,2.25,32
192,240.1324,40,Male,None,Low,Lagging,High,0.7547169,2.5,2.183333,1.75,30
330,252.6293,40,Male,None,Low,Lagging,Low,0.7547169,2.75,2.250988,2,30
17,252.8132,66,Female,None,Low,Lagging,Low,0.8403361,3,2.521739,2.25,31
165,254.1107,92,Female,None,Medium,Lagging,Low,1.123595,3,2.437008,3,33
183,254.8454,74,Male,None,Medium,Lagging,Low,0.9009009,3,2.52353,2.25,32
332,255.1992,57,Female,None,Low,Lagging,Low,0.8116883,2.75,2.332353,2.25,32
79,259.0569,94,Female,WheelChair,Medium,Lagging,Low,1.307189,3,2.663127,2.5,31
59,260.3429,50,Female,None,High,Lagging,Low,0.7874016,3,2.603448,2.5,32
78,264.0183,86,Female,None,Low,Immediate,Low,0.9803922,3,2.628788,3,31
