Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
98.60022,46,Male,None,Medium,Lagging
98.72118,65,Male,None,Low,Immediate
98.94453,69,Male,None,Medium,Lagging
98.94453,39,Female,None,Medium,Lagging
99.06775,82,Male,None,High,Lagging
99.27111,70,Female,None,Medium,Lagging
99.27111,88,Male,None,Medium,Lagging
99.38793,99,Female,None,Low,Lagging
99.38793,87,Female,WheelChair,Medium,Lagging
99.71928,34,Female,None,Low,Lagging
99.92595,22,Female,None,High,Lagging
99.92595,47,Female,None,High,Lagging
99.92595,33,Female,None,High,Lagging
99.92595,74,Female,None,Medium,Lagging
100.0959,96,Female,None,Medium,Immediate
100.4276,27,Male,None,High,Lagging
100.4276,95,Male,None,Medium,Lagging
100.4276,38,Female,None,Low,Lagging
100.6077,61,Male,WakingStick,Medium,Lagging
100.721,79,Male,None,Low,Lagging
100.721,31,Male,None,Low,Lagging
100.9334,40,Female,None,Low,Lagging
100.9334,81,Male,None,Medium,Lagging
101.2679,33,Male,None,High,Lagging
101.2679,35,Male,None,Medium,Lagging
101.2679,43,Female,None,High,Lagging
101.5972,29,Female,None,High,Lagging
101.5972,67,Male,None,Medium,Lagging
101.5972,74,Female,None,High,Lagging
101.7148,53,Male,None,Low,Lagging
102.2561,74,Female,None,Medium,Lagging
102.3863,36,Female,None,High,Lagging
102.3863,52,Male,None,Medium,Lagging
102.3863,67,Female,None,Low,Lagging
102.6078,33,Male,WheelChair,Medium,Immediate
102.6078,35,Male,None,High,Lagging
102.6078,20,Male,None,Medium,Lagging
102.9337,25,Male,None,Medium,Lagging
103.0488,32,Female,None,Low,Lagging
103.5997,92,Female,None,Medium,Lagging
103.5997,22,Male,None,Low,Lagging
103.7593,22,Female,None,Low,Lagging
103.7593,39,Female,None,Medium,Lagging
103.7593,72,Female,None,Low,Lagging
104.1021,64,Male,None,High,Immediate
104.4416,22,Male,None,High,Lagging
104.4416,37,Male,None,Low,Lagging
104.6009,65,Male,None,Low,Lagging
104.6009,75,Female,None,Low,Lagging
105.0991,87,Male,None,High,Lagging
105.2752,41,Female,None,Low,Lagging
105.5929,63,Female,None,High,Lagging
105.5929,72,Female,None,High,Lagging
105.5929,37,Male,None,Low,Lagging
105.9316,92,Male,None,Medium,Lagging
106.1064,49,Male,None,Low,Immediate
106.1064,48,Female,None,Low,Lagging
106.1064,43,Female,None,Medium,Lagging
106.4445,48,Male,None,Medium,Lagging
106.4445,60,Female,None,High,Lagging
106.5621,66,Female,None,Medium,Lagging
106.7821,46,Female,None,High,Lagging
106.9114,80,Male,None,Medium,Lagging
106.9114,29,Male,None,Low,Lagging
107.0928,40,Male,None,Medium,Lagging
107.0928,78,Female,None,Medium,Lagging
107.0928,88,Female,WheelChair,High,Lagging
107.5934,68,Female,None,Medium,Lagging
107.7723,53,Female,None,Low,Lagging
107.7723,54,Male,None,Low,Lagging
107.8841,53,Male,None,High,Lagging
108.4273,48,Female,None,High,Lagging
108.5939,92,Female,None,Medium,Immediate
108.5939,35,Female,None,Low,Lagging
108.5939,87,Female,None,High,Lagging
108.9351,75,Female,None,High,Lagging
108.9351,66,Male,None,Low,Immediate
108.9351,27,Male,WakingStick,High,Lagging
108.9351,58,Male,None,Low,Lagging
109.0953,67,Female,None,Low,Lagging
109.2707,34,Female,None,Low,Lagging
109.7645,77,Female,None,Low,Lagging
109.7645,77,Male,None,Medium,Lagging
109.7645,20,Female,None,Medium,Lagging
109.9247,74,Female,None,Medium,Lagging
109.9247,87,Male,None,Medium,Lagging
110.1029,69,Female,None,Medium,Lagging
110.4371,51,Female,None,Low,Lagging
110.5951,48,Female,None,Medium,Lagging
110.5951,91,Male,None,High,Lagging
110.7702,38,Female,None,High,Lagging
110.7702,61,Male,None,Medium,Lagging
111.3878,56,Male,WheelChair,Low,Immediate
111.3878,64,Male,None,Medium,Lagging
111.5966,86,Female,None,Medium,Lagging
111.5966,87,Male,None,Low,Immediate
