Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
84.25433,44,Female,None,High,Lagging,Low,0.7806401,1.2,0.9176471,0.8,71
84.25433,88,Female,None,Medium,Lagging,Low,1.01833,1.4,1.025882,1,68
84.44838,61,Female,None,Medium,Lagging,Low,0.8223684,1.4,1.004706,0.8,66
84.96188,55,Male,None,Low,Immediate,Low,0.8,1.2,0.8564708,1.2,67
85.05286,99,Female,None,Low,Immediate,High,1.785714,1.4,1.111628,1,69
85.15011,27,Female,None,Medium,Lagging,Medium,0.7072136,1.4,1.134884,1.2,71
85.25319,45,Female,None,Low,Lagging,Low,0.7722008,1.2,0.839535,1,68
85.39168,82,Female,None,High,Lagging,Low,0.9487666,1,0.7860465,0.8,67
86.09639,90,Male,None,Low,Lagging,Low,1.111111,1.2,0.8206899,0.8,62
86.90321,47,Female,WheelChair,Low,Immediate,Low,0.8680556,1,0.8068966,1,63
86.90321,30,Female,None,Low,Lagging,Low,0.7117438,1.2,0.9218391,1,68
87.52956,47,Female,None,Low,Lagging,Medium,0.78125,1.4,1.104546,1,72
87.52956,57,Female,WakingStick,Low,Lagging,Low,0.9549274,1.2,0.8477274,0.8,70
88.32641,43,Female,None,Medium,Lagging,Low,0.7727975,1,0.8449439,0.8,71
88.92192,30,Male,WheelChair,Low,Lagging,Low,0.7936508,1.2,0.8089889,1.2,69
89.56942,93,Male,None,Medium,Immediate,Low,1.149425,1.2,0.7977778,1,70
89.95921,82,Female,None,Low,Immediate,Low,0.9487666,1,0.7933333,1,66
90.27616,22,Female,None,Low,Lagging,Medium,0.7042254,1.4,1.156044,1.2,71
90.34761,62,Male,None,High,Lagging,Low,0.8264462,1.2,0.8813187,1,71
90.64892,71,Female,None,Medium,Lagging,Low,0.8741258,1.2,0.8681318,1,71
90.96393,83,Male,None,Low,Lagging,Low,0.9803922,1.4,0.9164834,1,68
91.79166,84,Female,None,Low,Lagging,High,0.9587728,1.8,1.360869,1.4,64
93.08858,80,Male,None,High,Lagging,Low,0.952381,1,0.7638296,1,74
93.81,39,Female,None,Low,Lagging,High,0.7407407,1.6,1.255319,1.2,65
93.897,79,Male,None,Low,Lagging,Low,0.9433963,1,0.8617022,0.8,65
94.50536,26,Female,None,Low,Lagging,Low,0.7042254,1.4,0.8863156,1.2,65
95.1094,94,Male,None,High,Lagging,Low,1.162791,1.4,0.8333333,1.2,72
95.93223,44,Male,None,Medium,Lagging,Low,0.7782102,1.4,1.110416,1.4,68
96.32514,60,Female,WheelChair,Medium,Lagging,Medium,0.9033424,1.2,1.053609,1,66
96.42565,44,Female,None,Low,Lagging,Low,0.7806401,1.4,0.9587628,1.2,70
96.75115,59,Male,None,Low,Lagging,Low,0.8264462,1,0.7835049,0.8,72
97.36354,36,Male,None,Low,Lagging,Low,0.7490637,1.4,0.9428573,0.8,67
97.54292,92,Female,WheelChair,Low,Lagging,Low,1.248439,1.2,0.8408164,0.8,73
98.95081,57,Male,None,Low,Lagging,Low,0.8130081,1,0.7171718,0.6,67
99.05099,65,Male,None,Medium,Lagging,Low,0.8333333,1.2,0.9439999,1,70
99.68801,88,Female,None,Medium,Lagging,Medium,1.01833,1.4,1.212,1.4,69
101.3074,80,Female,None,Medium,Lagging,Low,0.9372071,1.2,0.9294118,1,67
