Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
250.1329,23,Female,None,High,Lagging
250.6207,67,Female,None,Low,Lagging
250.8541,27,Female,None,Medium,Lagging
251.3601,54,Male,None,Low,Lagging
251.6073,32,Female,None,Medium,Lagging
251.6073,79,Female,None,Medium,Lagging
251.6073,24,Female,None,High,Lagging
251.846,68,Female,None,Medium,Lagging
252.3328,58,Male,None,Low,Lagging
252.5811,87,Female,None,Low,Lagging
252.8276,61,Male,None,Low,Lagging
252.8276,40,Male,None,Medium,Lagging
253.3495,26,Male,None,High,Lagging
253.8277,48,Male,None,Low,Lagging
253.8277,33,Female,None,Low,Lagging
254.0694,64,Female,None,Medium,Lagging
254.0694,68,Female,None,High,Lagging
254.5808,37,Male,None,Low,Lagging
254.8498,99,Female,None,Low,Immediate
255.3724,51,Male,None,Low,Lagging
255.6284,54,Male,None,Low,Lagging
255.6284,42,Female,None,Medium,Lagging
255.8648,82,Male,None,Medium,Lagging
256.1075,93,Male,None,Medium,Lagging
256.3516,28,Female,None,Medium,Lagging
256.6062,52,Male,None,Low,Lagging
256.8541,92,Female,None,Low,Lagging
257.0975,72,Male,WheelChair,High,Lagging
257.3496,34,Female,None,Low,Lagging
257.3496,42,Female,None,Medium,Lagging
257.8923,26,Female,None,Low,Lagging
258.164,21,Male,None,Medium,Lagging
258.164,87,Male,None,High,Lagging
